timestamps	CRIX
13.11.2017	16177.24516
14.11.2017	16735.34732
15.11.2017	17597.77305
16.11.2017	17895.23672
17.11.2017	18354.36197
18.11.2017	18695.30912
19.11.2017	18905.10396
20.11.2017	19465.44935
21.11.2017	19168.40772
22.11.2017	19878.16303
23.11.2017	20410.34226
24.11.2017	21194.79377
25.11.2017	21905.81003
26.11.2017	22919.62122
27.11.2017	23907.72668
28.11.2017	24760.17497
29.11.2017	22897.33783
30.11.2017	24251.7514
01.12.2017	25927.54245
02.12.2017	25874.83554
03.12.2017	26167.41196
04.12.2017	27655.83851
05.12.2017	28773.2363
06.12.2017	30382.40255
07.12.2017	37055.04575
08.12.2017	35770.83609
09.12.2017	33264.96143
10.12.2017	33368.48
11.12.2017	36621.45502
12.12.2017	39636.24926
13.12.2017	39402.84099
14.12.2017	41990.06991
15.12.2017	43101.33917
16.12.2017	46296.36243
17.12.2017	46807.97194
18.12.2017	48795.65841
19.12.2017	49205.10296
20.12.2017	48494.25505
21.12.2017	47949.28581
22.12.2017	40537.65707
23.12.2017	44805.40925
24.12.2017	42768.68179
25.12.2017	42875.22529
26.12.2017	47440.63791
27.12.2017	47111.28421
28.12.2017	44592.60315
29.12.2017	48048.23896
30.12.2017	44812.19088
31.12.2017	48365.44489
01.01.2018	47588.09681
02.01.2018	51843.04291
03.01.2018	56888.01301
04.01.2018	58500.8183
05.01.2018	58899.68348
06.01.2018	62895.25939
07.01.2018	62848.82399
08.01.2018	57504.48488
09.01.2018	57166.86602
10.01.2018	56403.97559
11.01.2018	51050.86457
12.01.2018	55542.84586
13.01.2018	57821.91428
14.01.2018	54769.62015
15.01.2018	52535.52603
16.01.2018	40778.26805
17.01.2018	40692.53904
18.01.2018	42348.09815
19.01.2018	42675.47842
20.01.2018	47623.77815
21.01.2018	41822.08255
22.01.2018	39294.88978
23.01.2018	39023.13863
24.01.2018	40651.45077
25.01.2018	40621.42797
26.01.2018	39776.82789
27.01.2018	41243.26254
28.01.2018	43686.10855
29.01.2018	41566.84607
30.01.2018	41288.77912
31.01.2018	36777.1191
